level,name,id,desc,alert,show,icon
25,活动副本,9,"需xx级开启,挑战活动副本可以获得大量银币",挑战摇钱树可以获得大量银币,1,images/switch/activity_copy.png
26,装备洗炼,24,需xx级开启，可洗炼装备，提高装备属性,可洗炼装备，提高装备属性,1,images/switch/xilian.png
28,试练塔,26,需xx级开启，通关50层可以获得宠物精华,挑战试练塔可获得稀有道具,1,images/switch/tower.png
30,比武,7,需xx级开启，可参加比武获得稀有道具,参加比武获得稀有道具,1,images/switch/contest.png
33,占星,12,需xx级开启，可获得装备项链和大量银币,完成占星星座可以获得项链,1,images/switch/star.png
34,宝物精炼,25,需xx级开启,宝物精炼,0,
35,战魂,28,"需xx级开启,装备战魂可提升武将战力",装备战魂可提升武将战力,1,images/main/sub_icons/fightSoul_n.png
38,战车,58,需xx级开启,战车出击，碾压一切！,2,images/main/menu/chariot_bag_n.png
40,宠物,10,需xx级开启，副本“白马之围上”开始掉落宠物精华,宠物出战后会给上阵武将增加属性,1,images/switch/pet.png
41,经验副本,44,需xx级开启,攻打经验副本可为主角获得大量经验物品,0,
43,武将称号,65,需xx级开启,彰显武将个性并增加大量属性！且在排行榜中开启武将称号排行！,2,images/hero_title/for_btn_n.png
45,资源矿,11,需xx级开启，可占领资源矿获得大量银币,占领资源矿可以获得大量银币,1,images/switch/resource.png
50,武将列传,32,需xx级开启,通关武将列传可领悟觉醒能力！,0,
51,特惠礼包,90,需xx级开启,每天都为主公准备了特惠礼包,2,images/switch/weekly_recharge.png
55,擂台争霸,34,需xx级开启，可获得丰厚的银币和声望奖励,挑战擂台争霸夺冠军可获得丰厚奖励,1,images/switch/olympic.png
58,炼狱挑战,47,需xx级开启，可获得大量炼狱令兑换丹药等道具,参加炼狱挑战可兑换丹药哦！,1,images/switch/purgatory.png
59,丹药,48,需xx级开启,武将服用丹药可获得大量属性,1,images/switch/danyao.png
60,武将商人,38,需xx级开启,在武将商人中可兑换强力武将武魂,1,images/weekendShop/weekend_btn_n.png
60,木牛流马,56,需xx级开启，可获得大量银币，达到100级则升级至红色战魂精魄,参与木牛流马可获得丰厚奖励！,2,images/switch/mlnm.png
61,聚义厅,49,需xx级开启,聚义厅可永久开启武将羁绊并获得特殊增益！,1,images/switch/loyal.png
64,学习技能,35,需xx级开启,学习技能可以让主角更厉害哦！,1,images/replaceskill/learn_btn_n.png
65,过关斩将,42,需xx级开启，可获得大量神兵令,参加过关斩将可获得专属神兵,1,images/switch/guoguanzhanjiang.png
66,水月之境,46,需xx级开启，可获得进阶及镶嵌宝物材料,参加水月之境可获得进阶及镶嵌宝物的材料,1,images/switch/shuiyue.png
68,星魂,45,需xx级开启,可提升主角属性，学习主角技能,1,images/athena/enter_n.png
69,寻龙探宝,33,需xx级开启，可获得铸造橙装材料,寻龙探宝可获得铸造橙色装备的材料,1,images/switch/xunlong.png
70,成长之路,81,需xx级开启,达到相应等级可购买超值礼包,2,images/switch/level_discount.png
72,阵法,40,需xx级开启,布阵将变得更有乐趣哦！,1,images/warcraft/warcraft_icon2.png
73,助战军,43,需xx级开启,可激活阵上武将羁绊和提供属性加成,1,images/formation/second_icon.png
74,武将变身,36,需xx级开启,可让你的武将变为你想要的武将！,1,images/replaceskill/learn_btn_n.png
75,武将进化,37,需xx级开启,武将进化成6星后，实力将大幅提升,1,images/develop/developup_btn_n.png
76,宠物进阶,55,需xx级开启,宠物进阶后将具备更强大的实力！,2,images/main/sub_icons/pet_n.png
78,领地,98,需xx级开启,领地可出现大量培养资源哦！,2,images/switch/lingdi_n.png
78,后军,99,需xx级开启,培养后军可大幅提升领地资源运送速度，且获得大量属性！,2,images/switch/lingdi_n.png
80,锦囊,50,需xx级开启,选择合适属性的锦囊对战局至关重要！,2,images/main/sub_icons/pokect_n.png
82,兵符,54,需xx级开启,武将装备兵符可以大幅提升战斗力！,2,images/main/sub_icons/seal_n.png
84,宠物升星,106,需xx级开启,宠物全新逻辑！升星开启！,1,images/switch/pet.png
85,武将培养,61,需xx级开启,对武将进行培养可大幅度提高武将战斗力！,2,images/hero/practice_n.png
88,红卡武将,51,需xx级开启,,0,
88,七星台,59,需xx级开启,可从中获得限时神将精华和各种稀有奖励！,2,images/main/sub_icons/sevens_lottery_n.png
89,跨服比武,52,需xx级开启，可获得大量跨服荣誉,参加跨服比武可获得大量跨服荣誉！,1,images/switch/kfbw.png
89,红装,53,需xx级开启,,0,
96,化身,86,需xx级开启,,0,
96,幻化修炼,87,需xx级开启,每天修炼幻化可获得大量修炼币！,2,images/switch/hhxl.png
99,神器,76,需xx级开启,神器可带来前所未有的伤害！神器伤害！,2,images/main/sub_icons/sq_n.png
101,跨服军团,102,需xx级开启,可创建/加入跨服军团,2,images/switch/kuafu_guild_n.png
102,玄兵台,104,需xx级开启,可从中获得各种稀有玄兵奖励！,2,images/main/sub_icons/stage_xb_n.png
105,武将列传,70,需xx级开启,激活三国策可大幅提升属性以及获得合体技能,2,images/switch/hero_liezhuan.png
110,金卡武将,62,需xx级开启,,0,
110,悬赏任务,63,需xx级开启,,0,
110,魔王来袭,64,需xx级开启,魔王降临，各位主公准备迎接挑战了吗？,2,images/switch/bosscoming.png
110,跨服资源矿,66,需xx级开启,占领跨服资源矿可获得宝石！宝石可用于装备镶嵌！,2,images/switch/kuafu_resource.png
115,跨服排行,71,需xx级开启,进入跨服排行都具有强大的实力！主公，准备好了吗？,2,images/switch/kfph_n.png
116,战意,85,需xx级开启,开启战意可获得额外属性提升！,2,images/switch/morale_n.png
117,军师功能（军师台和军师系统,105,需xx级开启,战斗新变革！军师可提升额外属性！,2,images/main/sub_icons/junshi_n.png
118,回归有礼,88,需xx级开启,离线1天以上即可购买离线礼包,2,images/switch/hgyl.png
120,星魂副本,67,需xx级开启,挑战星魂副本可获得大量武将星魂材料！,2,images/switch/goldcopy.png
120,武将星魂,68,需xx级开启,激活武将星魂可大幅度提升属性！并激活武将星魂天赋！,2,images/switch/xinghun.png
122,世界,69,需xx级开启,发现敌军，请主公速去清剿！,2,images/main/sub_icons/guild_world_n.png
123,统帅功能（统帅台和统帅系统）,107,需xx级开启,战斗新逻辑，统帅可在战斗中七八九号位出战！,2,images/command/command_n.png
127,化身突破,91,需xx级开启,突破化身可大幅提升属性！,2,images/switch/hhtp.png
129,铜雀台,92,需xx级开启,,0,
129,红颜,94,需xx级开启,武将可装备红颜，可为武将提升大量属性！,2,images/switch/hero_beauty_n.png
131,神兽,83,需xx级开启,神兽可在战斗中释放强力神兽技能！,2,images/switch/shenshou.png
133,红颜配饰升品,97,需xx级开启,升品可提升属性，解锁新的洗炼层！,2,images/switch/herobeauty_arm_n.png
134,名将,79,需xx级开启,战斗新变革！名将登场！,2,images/switch/mignjiang.png
134,名将升星,95,需xx级开启,战斗新变革！名将升星可提升额外属性！,0,images/switch/mignjiang.png
138,红颜升品,96,需xx级开启,升品可解锁额外配饰！且获得新效果！,2,images/switch/herobeauty_arm_n.png
146,古宝,84,需xx级开启,激活古宝可提升属性，获得强力天赋！,2,images/switch/gubao.png
150,战车-进阶,80,需xx级开启,,0,
155,武将突破,73,需xx级开启,突破武将可大幅提升合体技释放武将以及相应辅助武将的能力！,2,images/herobiography/main/break_main_n.png
158,秘宝,77,需xx级开启,培养秘宝可获得大量属性，并可激活强力秘宝天赋！,2,images/switch/mibao.png
160,符印升金,72,需xx级开启,,0,
165,名将突围,74,需xx级开启,挑战名将突围可获得大量武将升暗金所需材料！,2,images/anjin_copy/anjin_copy_n.png
165,暗金卡,75,需xx级开启,暗金卡,0,
186,跨服木牛流马,82,需xx级开启,,0,
190,符印升暗金,78,需xx级开启,,0,
220,符印升白金,93,需xx级开启,,0,
239,符印升琉金,100,需xx级开启,,0,
9000,美人绘卷,89,需xx级开启,美人好看还送奖！主公离线也送奖！,2,images/switch/mrhj.png
